customer_id,name,age,gender,city,income
101,Sunita,56.0,Male,Lucknow,166494.0
102,Priya,46.0,Female,Hyderabad,193540.0
103,Diya,32.0,Female,Lucknow,52371.0
104,Mohan,60.0,Female,Delhi,77022.0
105,Rahul,25.0,Male,Indore,91229.0
106,Pooja,38.0,Male,Delhi,119071.0
107,Aditya,56.0,Male,Nagpur,116774.0
108,Arjun,36.0,Male,Ahmedabad,46715.0
109,Mohan,40.0,Male,Mumbai,
110,Rohan,28.0,Male,Bangalore,119853.0
111,Vinod,28.0,Male,Nagpur,51174.0
112,Mohan,41.0,Male,Jaipur,
113,Praveen,53.0,Female,Hyderabad,96373.0
114,Rekha,57.0,Female,Bhopal,89252.0
115,Ananya,41.0,Male,Hyderabad,90017.0
116,Ramesh,20.0,Male,Nagpur,
117,Siddharth,39.0,Female,Nagpur,109818.0
118,Kabir,,Male,Chandigarh,26548.0
119,Diya,41.0,Male,Ahmedabad,136981.0
120,Ananya,61.0,Male,Delhi,
121,Aditi,47.0,Female,Bhopal,44022.0
122,Aditya,55.0,Female,Indore,126297.0
123,Komal,19.0,Female,Ahmedabad,
124,Lakshmi,38.0,Female,Chennai,
125,Diya,50.0,Female,Chandigarh,173812.0
126,Dinesh,29.0,Male,Chandigarh,79353.0
127,Vihaan,39.0,Female,Bangalore,133132.0
128,Naresh,61.0,Male,Mumbai,36052.0
129,Girish,42.0,Male,Indore,120689.0
130,Asha,44.0,Female,Surat,198148.0
131,Rekha,59.0,Female,Kolkata,151743.0
132,Deepa,45.0,Male,Surat,20163.0
133,Aditya,33.0,Male,Nagpur,
134,Tanvi,32.0,Male,Pune,161706.0
135,Ramesh,64.0,Female,Bhopal,155870.0
136,Rahul,61.0,Female,Pune,42420.0
137,Yogesh,,Female,Chandigarh,140575.0
138,Sandeep,54.0,Female,Ahmedabad,49300.0
139,Aarav,24.0,Female,Chennai,109881.0
140,Savita,38.0,Male,Bangalore,30749.0
141,Yogesh,26.0,Female,Jaipur,
